title,price,img,href,city,state
4 Cambridge speakers sound works,$25.00,https://images.offerup.com/ySuXbYOpJsSLjgvwmPg0qNOO9XU=/300x480/2654/2654cd4ee44f479b9ff18d95297cc8a7.jpg,/item/detail/562329611/,Pawtucket, RI
Power Beats,$20.00,https://images.offerup.com/83jpSWZkJhgVHBngre7o57koKy4=/300x399/8797/879728d44f474ecabf96af4c47e3a6c6.jpg,/item/detail/562326695/,Boston, MA
6 Halo LED 4”,$80.00,https://images.offerup.com/C_mXeXaf2Ug1x9NwcU4Q1vBkSuM=/300x400/f032/f0323ab07cba484b90d8bab659fc58e9.jpg,/item/detail/562317682/,Revere, MA
Wireless speaker,$20.00,https://images.offerup.com/ihblJnJ1d9InLL19wRAMdDGnAKY=/300x400/1bb3/1bb3ab95b1064a0684fd944d0010340d.jpg,/item/detail/562315764/,Lexington, MA
Apple iPad mini,$120.00,https://images.offerup.com/62olq5bivO02miuUyfM1k9hTQOY=/300x400/8ea9/8ea9714cce6f46e7a26160615a23f9d7.jpg,/item/detail/562310898/,Somerville, MA
IPad 3 32GB WiFi like new condition...,$245.00,https://images.offerup.com/ZFxaYMk0SDM21mPmaltLsiVgA1U=/300x374/ca4e/ca4e8ed867854b5c81a8dcafe46c3391.jpg,/item/detail/562304897/,Pawtucket, RI
Female pup,$450.00,https://images.offerup.com/-T_5SQI6EcPZ8THW2yfq4vxw1YY=/200x272/8b36/8b363abe2aca4739af4d4047f8caa73d.jpg,/item/detail/562297869/,Johnston, RI
iRobot,$100.00,https://images.offerup.com/U358bm0W4z2C7IXpoMqq6h9bSEI=/300x532/d1ec/d1ec91fb83e94ec198abaa2c7488fb34.jpg,/item/detail/528843533/,Watertown, MA
USB charger 3port,$10.00,https://images.offerup.com/1vxKqUggglG8jopfMT7snlDVvMI=/300x533/f5af/f5af81a9ac01487a8face26860885782.jpg,/item/detail/562261175/,Taunton, MA
New/never opened.. Samsung 4K UHD B...,$140.00,https://images.offerup.com/W189Y8GdEBQvCmIIYMjGH-acUw8=/300x388/51cd/51cd78f63948475b91070ff90d1b2d92.jpg,/item/detail/562243452/,Sherborn, MA
Lot of smoke alarms  gas alarms  an...,$50.00,https://images.offerup.com/6yMJWQUXPTw7wTFtjjfw0rja4Lo=/300x392/910c/910c6fa5fa344714921437c3b2c157f4.jpg,/item/detail/562236600/,Wilmington, MA
Apple watch band,$30.00,https://images.offerup.com/GMs3QyNfKAHPP3G7Me-ub1wKJf4=/300x225/364f/364fb306751f41d7b67e15dfd47c26d9.jpg,/item/detail/562224240/,Boston, MA
Water funtion,$70.00,https://images.offerup.com/J5KY39uv_cTk_x7HiJEaunDC_Ok=/300x400/8e2d/8e2dce0f036d4d4e995407f7efa109bc.jpg,/item/detail/562223898/,North Smithfield, RI
Motorola portable walkie-talkie,$200.00,https://images.offerup.com/oev8BTXXcEtAB6Et0mGmvPA8y6U=/300x649/f4bd/f4bd0e711fa0416fa5289a1f59af00bc.jpg,/item/detail/562219321/,Boston, MA
Roco 2,$25.00,https://images.offerup.com/dI2-_F-GoQQpb3ZMK4c64RIYPvI=/300x533/94ec/94ec4f99970e4606a00b7390fac6792b.jpg,/item/detail/562209298/,Revere, MA
Acer laptop,$150.00,https://images.offerup.com/Da1v_O0YxO_uafNBc6nJ3GMUB2w=/300x400/7e65/7e6512565a2d4dceb49fee43aef6a297.jpg,/item/detail/562196823/,Burrillville, RI
Apple ipad air 2 64 gb Unlocked,$260.00,https://images.offerup.com/PVbEXjC0LM8Ul14YwBBLaNdNRJA=/300x400/b2d6/b2d65b23eb9d4fddb076bcc221b4331f.jpg,/item/detail/562193052/,Somerville, MA
Panasonic cordless phone 3 handsets,$29.00,https://images.offerup.com/k-5NTPL8vBe4epGJ6zBTgEs59M0=/300x225/853c/853c031c87604ffcae8d6332c85b4b97.jpg,/item/detail/562187156/,Southborough, MA
Amazon Echo Dot (slightly used),$25.00,https://images.offerup.com/Jus2DolTT4TaVkyeScAizFFyK1Q=/300x533/af74/af7408eea481411fa784e50057443fb2.jpg,/item/detail/562183191/,Cambridge, MA
Nintendo DS car charger  fashion ga...,$15.00,https://images.offerup.com/dRzGx5mFqRt5orFJfsiycyclD4I=/300x533/4ea0/4ea0d363fc744b0b842609cc18dddd8f.jpg,/item/detail/562160007/,Braintree, MA
S9 Plus,$500.00,https://images.offerup.com/qtisglCJkShReOqq5o1DHZsDuoc=/300x441/fc70/fc70b51b6e8d42608e386a322201e3dd.jpg,/item/detail/562124082/,Lawrence, MA
Apple Watch Series 3 with cellular ...,$300.00,https://images.offerup.com/S0oaX2Caa4D-aaNR82qBs4IbsnY=/300x225/1f1d/1f1d15c3b5314757b5538f95b6365974.jpg,/item/detail/562097180/,Burlington, MA
Apple TV,$40.00,https://images.offerup.com/xFAoycANDleyHisE3XxglKsVctk=/300x400/eeee/eeeed509c9e447759531e3aa6b282cd8.jpg,/item/detail/562088866/,Woonsocket, RI
iPad Air 2 Cellular 16gb,$255.00,https://images.offerup.com/vVz7-BtBTFj-EZtPlzLmFE38x-M=/300x400/b843/b8437a1a03e342cfa77def42bde1b2a4.jpg,/item/detail/562060295/,Somerville, MA
Apple watch series 3,SOLD,https://images.offerup.com/1gbDCIK0IQ4Jk8k_0N6PiPT4RGc=/300x533/3414/3414cf9d56a342d288554905cca54445.jpg,/item/detail/562045422/,Pawtucket, RI
Lenovo IdeaPad Tablet A1 2228 - tab...,$49.00,https://images.offerup.com/UDYzUszuTmB1L7U4GLRCeGQo0RI=/300x225/a088/a0886f0a5a3f44e4809a901667f4c4fe.jpg,/item/detail/562023464/,Southborough, MA
“Helo” Health Monitoring   Fitness ...,$150.00,https://images.offerup.com/kJBYb20JvnMWLIY5UKzEXL_dq4g=/300x400/bfad/bfad4583573e4415b029ce3026bbf117.jpg,/item/detail/561988072/,Norton, MA
Mavic zoom 2 brand new 4k,$1000.00,https://images.offerup.com/iRMwXGKQq-u2mpOyOwjhJxlQv4s=/300x400/28a5/28a5e01ccc24495ab9e470856974c916.jpg,/item/detail/561977459/,North Smithfield, RI
SAMSUNG S7,$60.00,https://images.offerup.com/u4OZ8tcB-Vl405Uw0EHCcbwx-hA=/300x441/23b3/23b34ba4cbe142159237e94c5aac2852.jpg,/item/detail/561953168/,Lawrence, MA
Wireless bluetooth earbuds JAM BRAN...,$125.00,https://images.offerup.com/tmzS-SEuK-qt7oAsR58IPeYR0pk=/300x533/d5b4/d5b412de2f014d15a6ac9138bf3daf27.jpg,/item/detail/562505731/,Los Angeles, CA
Radar detector,$25.00,https://images.offerup.com/i0SrKQEXkGLV4WRCW5QdnRShxQQ=/300x400/b833/b83302e561eb468f81245f5f91666204.jpg,/item/detail/561946602/,Taunton, MA
New 7" Touchscreen Car Radio With S...,$58.00,https://images.offerup.com/ResrsS4VdI354jkecsW8eK2FNhc=/300x400/266a/266a95d663cf4f7da0d64ec9c3115fad.jpg,/item/detail/561941600/,Stoughton, MA
IPAD 2ND GEN 64G in great condition,$130.00,https://images.offerup.com/AB0teTwp-V6VnWRjRKT4v3bPxL4=/300x225/a61d/a61d7a7895ec47aabdb33763e860ad3a.jpg,/item/detail/561904178/,Woonsocket, RI
TV 18" Sanyo multi purpose,$40.00,https://images.offerup.com/Q4r_oW0-aWatHgYJxvlSe7MKPYI=/300x225/a129/a129675b42ef40a8882bb1c7d81d65d2.jpg,/item/detail/561887905/,Dracut, MA
Microsoft Surface Book (Intel i7  8...,$725.00,https://images.offerup.com/1pM0KhXOJwjB1yelwF8iigbhzIY=/300x194/1003/100370a4544e4b00b5037428b375652b.jpg,/item/detail/561451452/,Boston, MA
LifeProof Fre Case for iPad Air,$25.00,https://images.offerup.com/1qGRhRPUeti_P0ZX5Brro_UnMjY=/300x400/04d9/04d94b18efbf45aeacf3de41ea3821dd.jpg,/item/detail/561859728/,Dracut, MA
Speaker,$1500.00,https://images.offerup.com/2u0ehx4rzVN6d17TwbUxNZOL9F0=/300x400/cf99/cf99a5d5fd824ef0b9b213e2326a513e.jpg,/item/detail/561844139/,Boston, MA
Beats solo3 wireless,$280.00,https://images.offerup.com/OZf6ZJ4qsHS_ibAq8XWsfm8riGQ=/300x441/2bd2/2bd28f096c0d4b01a7d24cb4731d2582.jpg,/item/detail/561832827/,Boston, MA
Fs,$80.00,https://images.offerup.com/n9UESyV691hUED8csqpgItkaOYc=/300x294/e6ed/e6edaf60af3d473093db0aa860ddac43.jpg,/item/detail/561818849/,Framingham, MA
Dre beats Solo 3,$250.00,https://images.offerup.com/ivWp9sojOHR3E3cxIImONidwVtI=/300x400/4a09/4a094e1f4baf415d923aa0e4973dbaeb.jpg,/item/detail/562476298/,Glen Ellyn, IL
iPad Air 2 Fully Equipped 128GB WiF...,$300.00,https://images.offerup.com/u-a8ANpY_WN57cXlymT3cs1rJFo=/300x225/ddc1/ddc1b77393fc469d96907983b59a6b8c.jpg,/item/detail/561799122/,Arlington, MA
1970 Volkswagen beetle,$150.00,https://images.offerup.com/B_I6ys1eOgYS_kXbgQVyoieOMPM=/300x225/f4e2/f4e2edbd6a8d436e89ac621534cc3dfc.jpg,/item/detail/561790741/,Revere, MA
IPAD,$60.00,https://images.offerup.com/S1Q3N8sYvXvfrmyVMpKXycNSm9U=/300x400/ba92/ba92d0a800cb4693b6828e7420c96d05.jpg,/item/detail/561779185/,Boston, MA
Like New. Only used 3 times APPLE B...,$120.00,https://images.offerup.com/21smSbTjGiVIaJatzGJgDQbZLU8=/300x400/88f8/88f860d5455c44ef94c9a32898af6083.jpg,/item/detail/561774449/,Wakefield, MA
Apple Watch series 2,SOLD,https://images.offerup.com/oj6rdMC3jlRuwzrCsKrqQlrxyL0=/300x400/eaac/eaaccd582b5f4891873a01f824027de0.jpg,/item/detail/561753025/,Lawrence, MA
Sound machine,$50.00,https://images.offerup.com/PyUuNniMgx5J9kHMjhYHHZElEFw=/300x532/c701/c7019413088248aa97eaecce48d9b6c9.jpg,/item/detail/561733023/,Quincy, MA
Eyki Automatic Watch,$100.00,https://images.offerup.com/v0Jx1nA72G3Qois7-Mxq5sFJKuU=/300x400/6c8a/6c8a468548c94f90827f23c71974fc09.jpg,/item/detail/561730799/,Boston, MA
Small Wireless Bluetooth Speaker,$15.00,https://images.offerup.com/fgQ574tzpRCnQlYznHjnDmelsqs=/300x432/fa2a/fa2a0c38a68a4ffebf3165c6765c1cac.jpg,/item/detail/561709082/,Marlborough, MA
Igloo mini freezer,$160.00,https://images.offerup.com/lMuWq-f1kUm62ltPltn7mWqB_es=/300x400/bdc1/bdc1d11a23084b68a2fc15ce9b047ee4.jpg,/item/detail/561665271/,Revere, MA
like new galaxy s9 unlocked,$480.00,https://images.offerup.com/L_ildilqWGq5ymxqnUBA4PBbMnQ=/300x400/8fb2/8fb28effcddd4dd79eba63421fbad454.jpg,/item/detail/561656544/,Quincy, MA
Smart Watch!,$15.00,https://images.offerup.com/gTOMjtmIfKONANK1lyoclBjEsn4=/300x225/678c/678c6842f5a14e29892750252989f8f6.jpg,/item/detail/483680120/,Apopka, FL
Top of the line projector,$2300.00,https://images.offerup.com/I00dwTDDiCgXzl4ZWdFlnAHYfD4=/300x168/6a3d/6a3dd8ce705445fca4a1bf53577aa68e.jpg,/item/detail/561581156/,Boston, MA
Gear VR 2016,$30.00,https://images.offerup.com/2C7zQWndLuFLKz6Oi5gECy1knhE=/300x400/13ea/13eaa341bd934a6697e67e9bab99f64d.jpg,/item/detail/561563221/,Watertown, MA
SAMSUNG GEAR SPORT WATCH NEW,$210.00,https://images.offerup.com/ISKBND5Zl-xaVtAEvqRdFFM4m-c=/300x400/7988/79886e1cd3c147fc9228c3f12f7045b3.jpg,/item/detail/561533680/,Boston, MA
Garmin driveSmart 50,$130.00,https://images.offerup.com/-QXZIQ0rj-kS2oW_-rssXqlbIG0=/300x441/da13/da13207411084082a7b3fb50e3162767.jpg,/item/detail/560660557/,Boston, MA
Beats headphones,$200.00,https://images.offerup.com/WKPUtzTD8bWXcbYF4ZnOarurDcw=/300x400/6754/6754eea6850c477894a167e9cd140078.jpg,/item/detail/560772806/,Nahant, MA
Beats by Dre Solo 3,$220.00,https://images.offerup.com/-rf0MxtA2gl3r5enmR9kxG4pnQk=/300x300/7775/7775e0c657394b80a49d479d69df8e28.jpg,/item/detail/561464299/,Saugus, MA
Alexa echo dot,$30.00,https://images.offerup.com/wQ7UOVE59ubij5N-0UbY0u8PbCs=/300x533/9e5c/9e5cfc489aed440181eb3c749eb57789.jpg,/item/detail/560737124/,Pawtucket, RI
